No.,State,Name of reporting district,Math test participants,Math performance,Year,Reading test participants,Reading perfomance,Total students ,Total revenues,Current expenditures  ,"Current 
expenditures
per pupil","Total
expenditures
per pupil"
164,California,Garden grove unified school district,25747,69,2011,25735,59,48659,451091,411982,8466.717,8769.3541
165,California,Long beach unified school district,43265,61,2011,43330,55,84812,851802,737821,8699.488,9902.1011
166,California,Los angeles unified school district,342606,53,2011,342223,49,667273,9445475,7217255,10816.04,13993.142
167,California,Sacramento city unified school district,24870,56,2011,24889,52,47897,512325,463751,9682.255,10454.726
168,California,San bernardino city unified school district,28457,47,2011,28487,42,54518,600660,506455,9289.684,11123.904
169,California,San francisco unified school district,28027,62,2011,27992,60,55571,684462,546752,9838.8,13600.763
170,California,Santa ana unified school district,29849,58,2011,29884,47,57319,648953,519593,9064.934,10725.728
171,Florida,Brevard county school district,34067,65,2011,41622,67,71866,665068,586688,8163.637,8917.1235
172,Florida,Broward county school district,129825,60,2011,151251,57,256472,2477771,2299780,8966.982,10134.623
173,Florida,Duval county school district,59413,52,2011,71682,52,123997,1210443,1114356,8986.959,10061.784
174,Florida,Hillsborough county school district,95387,54,2011,115290,55,194525,1947934,1704214,8760.899,10136.193
175,Florida,Lee county school district,42202,57,2011,48818,58,81967,827211,736718,8987.982,10058.084
176,Florida,Osceola county school district,26873,48,2011,32469,52,53357,509748,446219,8362.895,10347.433
177,Florida,Palm beach county school district,87405,59,2011,105298,57,174663,1922511,1618132,9264.308,10545.307
178,Florida,Pinellas county school district,49123,51,2011,59790,56,104001,1036307,942551,9062.903,10276.113
179,Florida,Polk county school district,49214,48,2011,56306,48,95178,936340,858648,9021.496,10471.485
180,Florida,Seminole county school district,31794,67,2011,38702,68,64229,577531,526359,8195.036,8792.4769
181,Florida,Volusia county school district,30944,51,2011,36710,56,61559,608890,521732,8475.316,9846.9273
182,Georgia,Atlanta public schools,25702,67,2011,25293,89,49796,757348,721187,14482.82,18907.884
183,Georgia,Clayton county school district,27614,70,2011,26897,89,50366,500420,434311,8623.098,8996.5453
184,Georgia,Cobb county school district,57501,87,2011,56761,96,107315,1124647,947674,8830.769,10141.63
185,Georgia,Dekalb county school district,49914,73,2011,49361,89,98115,1126337,983958,10028.61,11356.072
186,Georgia,Gwinnett county school district,88058,88,2011,86615,96,160744,1663059,1483050,9226.16,10092.818
187,Hawaii,Hawaii department of education,94840,59,2011,94837,71,179601,2499513,2156001,12004.39,12578.46
188,Maryland,Anne arundel county public schools,39065,88,2011,39345,89,75481,1102787,982705,13019.23,15174.256
189,Maryland,Baltimore city public schools,40145,63,2011,40240,66,83800,1441019,1297470,15482.93,17329.224
190,Maryland,Baltimore county public schools,53396,83,2011,53625,86,104160,1555549,1380286,13251.59,14761.713
191,Maryland,Howard county public schools,26869,92,2011,26921,92,50994,890726,772020,15139.42,16925.266
192,Maryland,Montgomery county public schools,73306,86,2011,73672,90,144023,2687215,2221014,15421.24,17336.05
193,Maryland,Prince george's county public schools,61283,71,2011,61484,77,126671,1910110,1744944,13775.4,15603.887
194,Michigan,Detroit city school district,32054,13,2011,32306,36,77757,1250847,1043177,13415.85,18533.148
195,Nevada,Clark county school district,166918,70,2011,166963,61,314059,2927746,2597220,8269.847,9625.1278
196,Nevada,Washoe county school district,34204,77,2011,34185,67,64380,618416,546408,8487.232,9634.9953
197,New mexico,Albuquerque public schools,48433,44,2011,48415,51,95415,1006464,826472,8661.866,10708.662
198,North carolina,Cumberland county schools,27073,80,2011,27114,73,53307,501648,435393,8167.651,8978.802
199,North carolina,Guilford county schools,38686,82,2011,38808,70,73205,795228,635691,8683.71,10311.154
200,North carolina,Charlotte-mecklenburg schools,73560,83,2011,73723,73,135954,1378746,1094447,8050.127,9781.8306
201,North carolina,Wake county schools,78361,87,2011,78923,79,144173,1183308,1112138,7713.913,9273.3313
202,Ohio,Columbus city school district,25602,54,2011,25605,62,51134,980035,726788,14213.4,17917.081
203,Pennsylvania,Philadelphia school district,75193,49,2011,74666,44,166233,2896799,1934404,11636.7,18907.07
204,South carolina,Greenville county school district,37943,74,2011,37860,76,71930,701103,540531,7514.68,9119.6997
205,Tennessee,Memphis city schools,55701,29,2011,55884,31,111834,1170410,1062330,9499.168,10619.23
206,Texas,Aldine independent school district,31450,82,2011,31499,86,63154,603132,536703,8498.321,9908.2243
207,Texas,Arlington independent school district,32139,79,2011,32209,87,64484,591620,501627,7779.092,8966.0691
208,Texas,Austin independent school district,41467,84,2011,41502,87,85697,1096563,808287,9431.917,12368.683
209,Texas,Brownsville independent school district,23986,81,2011,23983,84,49879,504356,472744,9477.816,10748.411
210,Texas,Conroe independent school district,27326,91,2011,27330,93,51170,472852,375971,7347.488,10099.707
211,Texas,Cypress-fairbanks independent school district,56203,89,2011,56286,93,106097,953005,771525,7271.883,9270.5449
212,Texas,Dallas independent school district,77597,74,2011,77671,82,157162,1736994,1502681,9561.35,12987.16
213,Texas,El paso independent school district,31381,85,2011,31416,87,64330,595870,533719,8296.58,9031.5094
214,Texas,Fort bend independent school district,36613,88,2011,36607,93,68948,623356,521036,7556.941,9334.4695
215,Texas,Fort worth independent school district,41456,75,2011,41480,82,81651,835866,743459,9105.326,12610.88
216,Texas,Garland independent school district,29844,85,2011,29806,91,57833,545423,455996,7884.702,8673.3526
217,Texas,Houston independent school district,95943,80,2011,96155,85,204245,2221585,1834882,8983.73,11243.849
218,Texas,Katy independent school district,32837,93,2011,32819,96,60803,599020,488484,8033.879,10544.167
219,Texas,Lewisville independent school district,27432,92,2011,27458,94,51484,547507,436883,8485.801,11215.718
220,Texas,North east independent school district,35247,85,2011,35230,91,66604,685916,559887,8406.206,10618.536
221,Texas,Pasadena independent school district,27197,83,2011,27231,88,52218,506146,446410,8548.967,9159.0639
222,Texas,Plano independent school district,29090,91,2011,29086,95,55568,633556,468456,8430.319,11914.087
223,Texas,San antonio independent school district,25902,71,2011,25928,80,55116,578043,498348,9041.802,10375.064
224,Utah,Alpine school district,35503,84,2011,36391,88,67076,436619,359583,5360.829,6547.7667
225,Utah,Granite school district,34475,59,2011,35283,73,70083,474236,421152,6009.331,7648.474
226,Utah,Jordan school district,27767,77,2011,27309,82,50048,339004,276322,5521.139,6825.9271
227,Wisconsin,Milwaukee school district,37025,20,2011,36882,14,80934,1310838,1152804,14243.75,16045.432
